Analyzing nonna_app...                                          

warning • Unused import: 'package:flutter_riverpod/flutter_riverpod.dart' • lib/core/di/service_locator.dart:2:8 • unused_import
  error • The name 'Override' isn't a type, so it can't be used as a type argument • lib/core/di/service_locator.dart:237:15 • non_type_as_type_argument
  error • The name 'Override' isn't a type, so it can't be used as a type argument • lib/core/di/service_locator.dart:248:24 • non_type_as_type_argument
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/features/auth/presentation/providers/auth_provider_test.dart:92:35 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/registry/presentation/providers/registry_screen_provider_test.dart:178:58 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/registry/presentation/providers/registry_screen_provider_test.dart:317:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/registry/presentation/providers/registry_screen_provider_test.dart:346:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/features/registry/presentation/providers/registry_screen_provider_test.dart:361:25 • argument_type_not_assignable
  error • The argument type 'Uri' can't be assigned to the parameter type 'PostgrestBuilder<List<Map<String, dynamic>>, List<Map<String, dynamic>>, List<Map<String, dynamic>>>'.  • test/helpers/fake_postgrest_builders.dart:13:44 • argument_type_not_assignable
  error • The argument type 'List<dynamic>' can't be assigned to the parameter type 'List<Map<String, dynamic>>'.  • test/helpers/fake_postgrest_builders.dart:125:22 • argument_type_not_assignable
  error • The argument type 'Uri' can't be assigned to the parameter type 'PostgrestBuilder<List<Map<String, dynamic>>, List<Map<String, dynamic>>, List<Map<String, dynamic>>>'.  • test/helpers/fake_postgrest_builders.dart:141:52 • argument_type_not_assignable
warning • The '!' will have no effect because the receiver can't be null • test/helpers/fake_postgrest_builders.dart:241:42 • unnecessary_non_null_assertion
  error • The argument type 'Uri' can't be assigned to the parameter type 'PostgrestBuilder<List<Map<String, dynamic>>, List<Map<String, dynamic>>, List<Map<String, dynamic>>>'.  • test/helpers/fake_postgrest_builders.dart:247:40 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:57:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:79:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:86:11 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:99:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:112:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:112:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:124:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:124:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:132:50 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:132:55 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:136:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:136:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:146:11 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:147:11 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:154:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:154:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:163:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:163:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:176:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:176:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:195:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:195:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:219:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:219:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:231:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:231:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:239:50 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:239:55 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:245:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:256:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:256:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:268:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:268:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:287:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:287:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:304:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:304:53 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'String'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:322:48 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Map<String, dynamic>'.  • test/tiles/core/providers/tile_visibility_provider_test.dart:322:53 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/due_date_countdown/providers/due_date_countdown_provider_test.dart:69:58 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/due_date_countdown/providers/due_date_countdown_provider_test.dart:94:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/due_date_countdown/providers/due_date_countdown_provider_test.dart:161:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/due_date_countdown/providers/due_date_countdown_provider_test.dart:184:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/due_date_countdown/providers/due_date_countdown_provider_test.dart:205:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/due_date_countdown/providers/due_date_countdown_provider_test.dart:222:58 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/due_date_countdown/providers/due_date_countdown_provider_test.dart:250:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/due_date_countdown/providers/due_date_countdown_provider_test.dart:269:25 • argument_type_not_assignable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/due_date_countdown/providers/due_date_countdown_provider_test.dart:316:25 • argument_type_not_assignable
warning • The value of the local variable 'notifier' isn't used • test/tiles/invites_status/providers/invites_status_provider_test.dart:62:15 • unused_local_variable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/invites_status/providers/invites_status_provider_test.dart:78:58 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Future<void>'.  • test/tiles/invites_status/providers/invites_status_provider_test.dart:292:63 • argument_type_not_assignable
warning • The value of the local variable 'notifier' isn't used • test/tiles/new_followers/providers/new_followers_provider_test.dart:58:15 • unused_local_variable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/new_followers/providers/new_followers_provider_test.dart:71:58 • argument_type_not_assignable
warning • The value of the local variable 'notifier' isn't used • test/tiles/notifications/providers/notifications_provider_test.dart:59:15 • unused_local_variable
  error • The argument type 'Future<List<Map<String, dynamic>>> Function(Invocation)' can't be assigned to the parameter type 'Answering<PostgrestFilterBuilder<List<Map<String, dynamic>>>>'.  • test/tiles/notifications/providers/notifications_provider_test.dart:75:58 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Future<void>'.  • test/tiles/notifications/providers/notifications_provider_test.dart:354:63 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:66:58 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:84:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:137:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:159:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:187:11 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:208:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:229:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:249:25 • argument_type_not_assignable
  error • The argument type 'Null' can't be assigned to the parameter type 'Future<void>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:263:63 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/recent_purchases/providers/recent_purchases_provider_test.dart:290:58 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:65:58 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:78:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:126:25 • argument_type_not_assignable
  error • The argument type 'FakePostgrestBuilder' can't be assigned to the parameter type 'PostgrestFilterBuilder<List<Map<String, dynamic>>>'.  • test/tiles/registry_deals/providers/registry_deals_provider_test.dart:143:25 • argument_type_not_assignable
